order_id,customer_id,customer_name,email,phone,city,state,country,product_id,product_name,category,quantity,unit_price,discount,total_amount,payment_method,order_status,order_date,shipping_address,delivery_days
ORD000011,CUST1526,James Clayton,jacksontammy@miller.info,001-998-920-0085,Susanstad,North Dakota,Bhutan,PROD578,Without Watch,Home & Kitchen,2,24568.85,0.39,29974.0,UPI,Processing,2024-11-21,"1711 Hannah Passage, Mccoybury, AR 91924",2
ORD000012,CUST7989,Brianna Scott,thomasjason@yahoo.com,077.936.5155x28641,West Carlborough,Pennsylvania,Papua New Guinea,PROD827,Education Laptop,Fashion,1,37583.09,0.37,23677.35,Cash on Delivery,Delivered,2024-02-10,"PSC 5168, Box 6866, APO AP 81635",9
ORD000013,CUST4324,Hailey Krueger,carteramy@howard-underwood.com,(051)267-4441,Meredithberg,New York,Czech Republic,PROD490,Material Table,Electronics,1,20438.12,0.28,14715.45,Debit Card,Shipped,2025-05-04,"5576 Cynthia Manor Suite 554, Heatherfurt, MN 77202",1
ORD000014,CUST4895,Michelle Morris,dana71@hotmail.com,+1-864-535-6326,North Laura,Alaska,Guyana,PROD579,Technology Laptop,Electronics,5,4576.18,0.27,16703.06,Net Banking,Returned,2024-02-05,"49517 Holmes Place Suite 053, Osbornemouth, MT 03522",3
ORD000015,CUST7574,Morgan Cisneros,qmendez@gmail.com,+1-826-801-9681,Millermouth,Ohio,Norfolk Island,PROD686,Example Watch,Home & Kitchen,4,4326.06,0.06,16265.99,Debit Card,Delivered,2024-10-03,"25833 Flores Drive Suite 505, South Eric, IA 82457",3
ORD000016,CUST1791,Regina Clark,spencerjonathan@hotmail.com,(896)540-2289x62807,West Andrewview,New Mexico,Swaziland,PROD521,Son Watch,Books,5,10127.94,0.05,48107.72,Credit Card,Delivered,2025-02-13,"785 Schneider Alley Suite 894, North Johnport, CT 05851",7
ORD000017,CUST5134,Carol Smith,doylebrittany@hotmail.com,799-554-8674x62974,West Karenchester,New Hampshire,Myanmar,PROD609,Factor Laptop,Home & Kitchen,1,43622.74,0.21,34461.96,Net Banking,Cancelled,2024-11-04,"09800 Tim Coves, North Jonathanview, MO 58651",10
ORD000018,CUST6909,Amber Banks,oali@miller.com,475.440.9519x59870,Jamesfort,Hawaii,Guadeloupe,PROD485,A Laptop,Home & Kitchen,3,21642.72,0.3,45449.71,Cash on Delivery,Cancelled,2024-03-03,"9380 Beth Union Apt. 650, Patrickmouth, DC 35028",10
ORD000019,CUST3653,Lisa Thompson,johnlewis@gmail.com,718.412.5229x3338,Tannerchester,Missouri,Cayman Islands,PROD638,Office Table,Electronics,1,13545.98,0.02,13275.06,Debit Card,Processing,2024-04-24,"47456 Burch Track Suite 683, Wandabury, AK 60108",10
ORD000020,CUST1355,Jessica Bell,moransuzanne@yahoo.com,060-043-5024,Port Dennis,Rhode Island,Japan,PROD488,Film Watch,Sports,3,13263.09,0.12,35014.56,Net Banking,Processing,2024-02-26,"248 Cunningham Trafficway, South Michellemouth, IL 14795",1
ORD000021,CUST6877,Robert Blair,mphillips@soto-andrade.com,+1-941-336-6685x578,Arnoldtown,South Dakota,Zimbabwe,PROD415,Care Table,Beauty,5,36124.88,0.24,137274.54,Debit Card,Cancelled,2025-04-01,"4525 Joel Ridge, Durhammouth, AL 38821",1
ORD000022,CUST5741,Katherine Rice,uwashington@stone-keith.com,558.374.1871,Marybury,Nevada,Tonga,PROD547,Its Table,Sports,4,651.32,0.11,2318.7,Credit Card,Returned,2024-01-09,"5747 Mejia Oval, Wesleybury, WI 80314",8
ORD000023,CUST6352,David Neal,xwilliams@gmail.com,+1-043-841-4359x9850,North James,Indiana,British Indian Ocean Territory (Chagos Archipelago),PROD714,Suddenly Shoes,Books,5,17013.8,0.07,79114.17,Credit Card,Cancelled,2024-08-14,"PSC 3637, Box 9950, APO AP 30574",4
ORD000024,CUST3362,Kyle Scott,oferguson@nicholson.com,001-596-135-8957x0164,Jenniferborough,Massachusetts,Spain,PROD897,Any Laptop,Books,3,9442.85,0.05,26912.12,UPI,Cancelled,2024-04-24,"343 Lee Road, Port Julia, KS 27831",5
ORD000025,CUST8076,Dylan Brown,keyjohnny@frank.biz,720-682-0320x686,Kristystad,Georgia,United States of America,PROD267,Mrs Table,Beauty,5,20562.99,0.27,75054.91,UPI,Returned,2025-01-28,"531 Knight Green, Blackshire, DC 20170",2
ORD000026,CUST8381,Randy Aguilar,todd41@reynolds.com,726.129.6220,South Joshuachester,Ohio,Solomon Islands,PROD912,Design Phone,Books,5,38402.3,0.33,128647.7,Cash on Delivery,Cancelled,2024-02-21,"958 Roth Light Apt. 857, East Edwin, MN 95806",2
ORD000027,CUST4584,Kyle Tate,foleyjason@ballard.net,234.785.6128x415,Port Jasonburgh,Wyoming,Peru,PROD248,Front Phone,Toys,4,22239.75,0.01,88069.41,Debit Card,Delivered,2025-04-26,"31465 Jason Orchard Apt. 983, Bensonchester, IA 81182",3
ORD000028,CUST3191,Jeremy Fields,xgarza@nielsen.com,1139867608,Dunnview,Missouri,Grenada,PROD468,Thought Bag,Home & Kitchen,5,1730.46,0.26,6402.7,UPI,Cancelled,2024-03-08,"93252 Hamilton Underpass Suite 535, Lake Monique, SD 32816",5
ORD000029,CUST9005,Anthony Giles,pcasey@watson-davis.com,391.164.8118x9959,Lake Margaretside,Nebraska,Bhutan,PROD941,List Table,Books,3,34379.86,0.22,80448.87,UPI,Shipped,2024-10-06,"5683 Collins Spur Suite 931, West Elizabeth, SD 51546",5
ORD000030,CUST6096,Stephanie Martinez,bennettchristopher@cook.com,159.215.5960x1784,Blakeville,Florida,Estonia,PROD391,Investment Shoes,Beauty,4,49922.28,0.01,197692.23,Debit Card,Cancelled,2024-08-31,"047 Jason Streets, West Zacharyport, KS 17634",5
ORD000031,CUST4583,Steven Brown,ffrederick@scott-durham.net,001-170-774-0239,Leetown,Ohio,French Guiana,PROD531,On Shoes,Electronics,4,41620.67,0.28,119867.53,Cash on Delivery,Returned,2024-11-25,"USNS Johnston, FPO AA 79997",8
ORD000032,CUST5144,Jeffery Washington,rachelgonzalez@clark.com,7428871091,Alvaradotown,California,Fiji,PROD294,When Laptop,Books,4,33751.76,0.31,93154.86,Net Banking,Returned,2024-07-11,"8708 Bailey Circle Suite 573, Craigborough, OH 60208",4
ORD000033,CUST1931,Anthony Adams,whiteroberta@walsh.com,764.543.5630,Coleland,Utah,Sweden,PROD390,Work Laptop,Fashion,1,4484.96,0.21,3543.12,UPI,Shipped,2024-05-13,"178 Harrison Rapids, Youngstad, CT 53679",1
ORD000034,CUST5637,Brady Roberson,rrussell@todd.net,377-060-5080x6763,Armstrongstad,Oregon,Central African Republic,PROD418,Building Watch,Toys,2,41682.69,0.36,53353.84,UPI,Returned,2024-03-10,"5298 Mclaughlin Lodge Apt. 454, East Zoe, ME 76370",10
ORD000035,CUST7654,Monica Ross MD,mooremarie@noble.com,028-687-6545,Englishland,New York,United States of America,PROD523,Power Watch,Fashion,3,18071.6,0.09,49335.47,Credit Card,Processing,2024-01-28,"0053 Joann Bypass, North Christina, ID 31818",3
ORD000036,CUST7720,Amanda Taylor,turnermelissa@richard-lee.com,434-838-0295x8126,Rivaston,Nebraska,Malawi,PROD144,Light Phone,Beauty,5,2004.56,0.07,9321.2,Cash on Delivery,Cancelled,2024-01-04,"Unit 0928 Box 3746, DPO AA 49649",10
ORD000037,CUST1359,Thomas Evans,srodriguez@hotmail.com,478-470-0402,North Gregoryborough,North Dakota,Saudi Arabia,PROD570,Born Phone,Toys,2,11759.21,0.18,19285.1,Debit Card,Processing,2024-03-27,"699 Elizabeth Flat, Lake Jamesborough, OR 15606",7
ORD000038,CUST6274,Madison Burton,david27@dixon.com,820.460.4237x5444,Garciatown,Ohio,Tanzania,PROD968,Plan Phone,Fashion,1,10160.67,0.28,7315.68,Credit Card,Cancelled,2024-01-03,"3695 Bradley Circles, North Dennis, LA 78382",6
ORD000039,CUST4447,John Johnson,hholmes@williams.com,876.624.9146x99379,Crystalstad,Iowa,Congo,PROD860,News Shoes,Books,4,10363.03,0.27,30260.05,Net Banking,Cancelled,2024-03-28,"0630 Danny Trail, Jamesstad, WI 68458",9
ORD000040,CUST3917,Anna Fuller,donovanjanet@ford-silva.com,+1-009-970-7557x5216,Lake Elizabethshire,California,Yemen,PROD881,Offer Table,Fashion,4,18961.81,0.18,62194.74,Cash on Delivery,Processing,2025-03-11,"359 Dawn Pine, East Stephen, IN 82193",2
ORD000041,CUST3744,Walter Johnson,pford@foster-phillips.net,(672)646-7725x518,South Karinafort,North Dakota,Mayotte,PROD962,Across Table,Beauty,1,47301.78,0.22,36895.39,Cash on Delivery,Returned,2024-08-12,"44946 Kayla Ways, West Thomas, FL 31609",4
ORD000042,CUST7492,Katie Cruz,michaelwilliams@morgan-monroe.com,001-584-067-4205x1905,Seanshire,Washington,Panama,PROD970,Shake Shoes,Electronics,1,13945.28,0.11,12411.3,UPI,Shipped,2024-07-05,"082 Clarke Forks Suite 067, Zacharyberg, AL 37983",2
ORD000043,CUST6259,Kyle Morales,austin07@cole.com,+1-092-035-7608x6193,East Travis,Vermont,Hong Kong,PROD596,Author Phone,Beauty,1,29279.15,0.02,28693.57,Cash on Delivery,Returned,2024-06-04,"3269 Daniels Prairie Apt. 354, Ramirezborough, AR 24612",7
ORD000044,CUST5001,Katie Hernandez,denniswilliams@clarke.biz,128.463.0477,Duncanmouth,California,Korea,PROD381,Try Laptop,Fashion,1,33599.17,0.35,21839.46,Debit Card,Processing,2024-05-16,"9723 Jenkins Islands, Prestonberg, DC 98119",6
ORD000045,CUST2839,Craig Newman,mark76@henderson-barnes.info,+1-045-370-5804x90145,North Cathy,Massachusetts,Norway,PROD686,Near Bag,Electronics,2,46382.13,0.29,65862.62,Debit Card,Delivered,2025-01-24,"035 Trevor Track, Pinedaton, DE 18553",10
ORD000046,CUST8396,Holly Combs,hintonkenneth@yahoo.com,975.295.7600,East Jeffreyview,Kansas,Saint Helena,PROD884,Look Shoes,Grocery,5,17779.41,0.24,67561.76,Debit Card,Delivered,2024-09-13,"Unit 3760 Box 8781, DPO AA 83308",10
ORD000047,CUST4307,Tara Harris,benjamincole@schaefer-patterson.org,5656736342,New Timothy,Georgia,Cambodia,PROD345,Too Table,Home & Kitchen,3,9092.51,0.1,24549.78,Credit Card,Returned,2024-02-23,"15081 Adam Run, Morrisonton, TX 67362",3
ORD000048,CUST3965,Jonathan May,linda33@gmail.com,+1-839-474-4880x759,Ellisborough,Maine,Turkmenistan,PROD599,Song Watch,Grocery,2,36752.31,0.3,51453.23,Net Banking,Shipped,2025-04-25,"1060 Justin Fields, New Peterton, NV 65983",3
ORD000049,CUST7304,Michael Wang,tara07@yahoo.com,643.069.7100x93931,Kimburgh,West Virginia,Holy See (Vatican City State),PROD775,Small Phone,Fashion,2,21296.4,0.1,38333.52,Cash on Delivery,Cancelled,2025-04-18,"720 Susan Ridges Apt. 356, Brandonland, IL 93396",2
ORD000050,CUST2027,Terri Harrison,daviselizabeth@hotmail.com,584-242-8550,Charlesbury,New Mexico,Algeria,PROD885,Final Bag,Beauty,1,4392.62,0.14,3777.65,Cash on Delivery,Processing,2025-04-11,"33724 Michael Drive Suite 858, Kirkmouth, PA 19517",6
ORD000051,CUST2701,Robert Patterson,smorris@gmail.com,(038)367-3750x554,Smithland,Oklahoma,Lebanon,PROD781,Note Table,Sports,2,10980.27,0.06,20642.91,UPI,Cancelled,2024-07-25,"1201 Cameron Shores Apt. 764, Port Leslie, NE 62472",7
ORD000052,CUST3686,David Boyle,soliskimberly@rhodes.biz,+1-913-184-8715x9843,Brockfurt,Maryland,Sri Lanka,PROD277,Relate Shoes,Electronics,1,34362.63,0.21,27146.48,UPI,Returned,2024-04-22,"459 Ortiz Wall Apt. 062, Princehaven, MO 01344",7
ORD000053,CUST9182,Jason Lewis,nataliestewart@hotmail.com,8492800715,South Anna,Massachusetts,Turks and Caicos Islands,PROD669,Hear Table,Sports,2,35850.54,0.16,60228.91,Net Banking,Returned,2025-05-13,"35958 Barbara Squares, East Ryanmouth, WA 48595",7
ORD000054,CUST7264,Timothy Nicholson,iwilliams@smith.org,3897129739,Jessicaside,Minnesota,Pakistan,PROD813,He Laptop,Fashion,5,26054.36,0.35,84676.67,Debit Card,Delivered,2024-11-18,"75584 Anderson Passage Apt. 608, South Tamara, OK 60861",7
ORD000055,CUST2414,Brittany Graham,peterselizabeth@hotmail.com,+1-523-897-2415x873,Port Kevin,Texas,Montserrat,PROD569,Between Phone,Sports,3,27950.83,0.27,61212.32,UPI,Cancelled,2024-01-27,"834 Bradley Key, Raymondfort, WV 22139",6
ORD000056,CUST6886,Monica Cameron,hmckee@hotmail.com,801.422.6285x181,North Brittanymouth,West Virginia,Central African Republic,PROD731,Someone Bag,Beauty,1,40187.59,0.39,24514.43,UPI,Processing,2025-01-30,"53971 Madison Prairie, East Kimberlybury, OK 74381",5
ORD000057,CUST3016,Ashley West,megansolis@holt-diaz.com,678-228-3855,Port Andrew,Kentucky,Costa Rica,PROD659,Often Table,Home & Kitchen,2,35935.43,0.35,46716.06,Credit Card,Delivered,2024-10-15,"175 Mitchell Cliff, Duncanborough, NJ 03321",2
ORD000058,CUST3048,Calvin Vaughan DDS,uthompson@hall.com,2839535034,Davisview,Texas,Cuba,PROD241,Add Table,Home & Kitchen,4,9925.21,0.39,24217.51,UPI,Processing,2025-03-21,"3570 Kathryn Islands Apt. 352, West David, ND 76189",10
ORD000059,CUST8995,Haley Nolan,samuel08@hill.com,001-852-914-7542,West William,Alaska,Botswana,PROD160,Group Phone,Electronics,4,17896.05,0.03,69436.67,Net Banking,Delivered,2024-07-27,"917 Michael Tunnel, Josefurt, WV 02477",1
ORD000060,CUST3294,Brianna Peterson,codyrojas@yahoo.com,(677)782-9486x1631,Port Vanessa,Texas,Rwanda,PROD949,Forget Shoes,Grocery,1,18596.4,0.02,18224.47,Credit Card,Delivered,2025-03-25,"424 Dawn Throughway, Collinsshire, IL 32823",7
ORD000061,CUST9752,Joseph Smith,alexandra66@hotmail.com,210-951-8134x474,Thomasburgh,North Dakota,Cape Verde,PROD804,Action Laptop,Fashion,2,1380.75,0.13,2402.51,Cash on Delivery,Cancelled,2025-03-15,"66319 Fox Streets Suite 592, Lanehaven, IN 56982",7
ORD000062,CUST3664,Anita Byrd,charles78@hotmail.com,136.366.0811x5674,Port Alan,Alaska,Eritrea,PROD788,Data Laptop,Sports,5,7138.9,0.36,22844.48,Credit Card,Returned,2025-03-24,"1592 Madeline Tunnel Apt. 895, West Allisonchester, VA 40681",2
ORD000063,CUST5545,John Hampton,iosborne@alvarez-vazquez.biz,001-925-743-7568x5799,Brendaside,Oregon,Qatar,PROD352,Production Phone,Sports,1,1502.76,0.18,1232.26,Cash on Delivery,Shipped,2024-08-30,"301 Jesse Drive, Lake Brandystad, IL 04479",9
ORD000064,CUST7390,David Williams,rojascassandra@gmail.com,+1-613-165-1159x20627,South Kristin,Pennsylvania,Ethiopia,PROD838,Season Watch,Home & Kitchen,5,26027.39,0.13,113219.15,Debit Card,Returned,2024-02-18,"019 Alice Prairie, Allenview, NV 06188",7
ORD000065,CUST3952,Martha Salazar,berrygrace@cardenas.com,(180)438-4832,Mitchellhaven,Iowa,Saint Vincent and the Grenadines,PROD664,Suddenly Phone,Home & Kitchen,3,37078.32,0.06,104560.86,Credit Card,Cancelled,2025-01-29,"66682 Brown Ramp Apt. 227, Andrewmouth, VT 53206",3
ORD000066,CUST5534,Victoria Wilkins,zgibson@yahoo.com,618-340-0117x2637,West Mary,Michigan,Western Sahara,PROD588,Grow Table,Electronics,3,27345.55,0.18,67270.05,Debit Card,Returned,2024-09-08,"283 Nicole Alley Apt. 829, Jacksonfurt, AK 54916",6
ORD000067,CUST1647,Maureen Watson,ingramtroy@roberts-burns.info,+1-929-088-6258x45321,Port Andrea,Maine,Liberia,PROD933,To Shoes,Sports,4,26473.46,0.39,64595.24,Credit Card,Processing,2024-02-28,"4312 Martin Manors, North Katherine, MN 95651",1
ORD000068,CUST5775,Jennifer Richards,laura71@williams.com,(999)762-1296x7616,Ayalamouth,Utah,Papua New Guinea,PROD344,Town Phone,Sports,3,42201.84,0.07,117743.13,Cash on Delivery,Delivered,2025-04-23,"63578 Rachael Crossroad, Port Kiarastad, MT 01027",4
ORD000069,CUST4709,Timothy Watson,donnabanks@hotmail.com,532.069.7271,Millsview,Hawaii,Ghana,PROD998,Just Watch,Sports,1,6575.71,0.3,4603.0,UPI,Processing,2024-12-10,"59650 Grant Bypass, Lake Dianeberg, RI 57530",1
ORD000070,CUST7618,Jennifer Perez,rachaelmorris@hotmail.com,3054274978,South Brandonshire,Oregon,Madagascar,PROD540,Hard Table,Fashion,1,28318.45,0.14,24353.87,Net Banking,Delivered,2025-03-31,"42350 Jennings Skyway, Port James, FL 52057",4
ORD000071,CUST7243,Lisa Daniels,ashley73@yahoo.com,031.818.2032,Clarktown,Utah,Cayman Islands,PROD152,Question Phone,Toys,3,16568.34,0.2,39764.02,Net Banking,Cancelled,2024-05-12,"00735 Snow Brook Apt. 883, New Courtney, MN 89395",3
ORD000072,CUST2248,Jack Roman,marissabailey@gonzalez-boone.com,+1-279-751-8037x48159,Rodriguezshire,Washington,Norfolk Island,PROD324,Pattern Phone,Grocery,5,496.8,0.09,2260.44,Debit Card,Cancelled,2024-01-16,"48298 Brewer Lights, Port Lauraville, GA 93636",4
ORD000073,CUST6939,Gregory Miles,madison36@cortez.com,536-853-9413,East Kevinmouth,Nebraska,Philippines,PROD336,Democrat Watch,Beauty,4,723.67,0.08,2663.11,Net Banking,Processing,2024-06-20,"15962 Kiara Haven, Aprilberg, NV 22043",10
ORD000074,CUST7304,Calvin Johnson DDS,diazlisa@lee.com,4893787628,South Robertberg,Iowa,Burkina Faso,PROD631,Former Table,Beauty,5,45642.29,0.1,205390.31,Net Banking,Delivered,2025-04-01,"2553 Stephen Inlet Suite 041, Mcintoshbury, ME 25615",8
ORD000075,CUST6186,Kimberly Brown,michael00@gmail.com,(353)212-7904,Carrside,Delaware,Cape Verde,PROD261,If Phone,Fashion,3,1273.06,0.18,3131.73,Cash on Delivery,Shipped,2025-04-18,"28210 Garcia Garden Suite 513, Millerland, NM 60157",4
ORD000076,CUST6455,Jacqueline Hughes DDS,cgood@harris.info,001-660-087-3015x7818,Farrellfort,California,Guinea,PROD257,Method Laptop,Electronics,5,22965.32,0.02,112530.07,Credit Card,Shipped,2024-10-27,"8263 Dennis Harbor Suite 548, Kaylaton, DE 84413",3
ORD000077,CUST4211,Nicole Wright,whamilton@hotmail.com,+1-621-285-5901x1175,Sandramouth,Tennessee,Philippines,PROD892,When Table,Grocery,2,29444.37,0.36,37688.79,Debit Card,Cancelled,2024-05-03,"704 Heidi Street, North Amberville, CT 94150",2
ORD000078,CUST9226,Richard Boyer,joshuagraham@lambert.net,001-728-570-0805,Charleshaven,Alaska,Saint Pierre and Miquelon,PROD413,Maybe Bag,Electronics,3,19307.25,0.23,44599.75,Debit Card,Processing,2024-04-29,"1588 Collins Valley Apt. 978, New Samuel, NJ 42710",6
ORD000079,CUST8780,Edward Townsend,jeffreysparks@hotmail.com,423-357-4254,Lake Angela,Washington,Singapore,PROD652,Artist Shoes,Books,2,20755.66,0.07,38605.53,Cash on Delivery,Cancelled,2025-01-07,"PSC 0774, Box 8137, APO AP 19963",3
ORD000080,CUST9970,James Hernandez,cooperjill@hotmail.com,(174)529-4605,Jessicamouth,North Carolina,Egypt,PROD607,Game Bag,Toys,3,39126.26,0.38,72774.84,UPI,Returned,2025-03-20,"121 Michael Freeway Suite 455, Bethburgh, SD 83366",4
ORD000081,CUST5203,Ian Hughes,walkerandrea@gonzalez.com,001-364-645-0337x162,West Leslie,Vermont,Lithuania,PROD598,Forget Phone,Sports,5,37893.62,0.2,151574.48,Credit Card,Returned,2024-08-04,"1059 Benjamin Ridge Suite 237, New Lindaview, WI 69928",8
ORD000082,CUST3944,Kevin Lopez,benjamin83@gmail.com,001-693-680-7037,Jamieton,Connecticut,Martinique,PROD627,Have Phone,Home & Kitchen,3,38450.52,0.35,74978.51,Credit Card,Delivered,2024-11-15,"USNS Perry, FPO AP 58433",6
ORD000083,CUST3131,Megan Chapman,dgomez@brennan.info,654-892-6706,New Maryburgh,Maine,Venezuela,PROD272,Live Shoes,Toys,5,47026.04,0.03,228076.29,Credit Card,Returned,2025-01-02,"982 Michelle Circles Suite 878, Sawyerhaven, IN 36645",4
ORD000084,CUST4662,Jacob Hess,tonymitchell@martinez.net,(606)422-8074,North Williamberg,Pennsylvania,Austria,PROD294,Camera Bag,Grocery,4,7166.42,0.26,21212.6,Net Banking,Returned,2024-09-15,"1340 Floyd Locks, Melissastad, IA 40190",3
ORD000085,CUST9928,Nathan Turner,victoria62@wood.com,082.390.3408x736,Triciahaven,Mississippi,Brazil,PROD324,Scientist Watch,Fashion,5,35244.91,0.05,167413.32,Net Banking,Delivered,2024-03-12,"7999 Hicks Overpass Suite 374, Amytown, HI 52763",4
ORD000086,CUST6908,Christopher Meyer,vspence@yahoo.com,207-225-6655,Port Ryanhaven,Montana,Macao,PROD109,Boy Laptop,Home & Kitchen,4,4308.64,0.26,12753.57,Cash on Delivery,Processing,2024-01-23,"USS Cochran, FPO AP 49878",6
ORD000087,CUST6757,Laura Nelson,kconway@yahoo.com,+1-834-929-0004x0827,Hammondburgh,Maryland,Seychelles,PROD616,Here Watch,Home & Kitchen,5,9268.74,0.22,36148.09,Cash on Delivery,Cancelled,2024-03-13,"2662 Cabrera Forge, Hallbury, MT 15342",2
ORD000088,CUST6355,Jackie Jimenez,zkemp@terry.biz,(504)157-6382,Jenniferhaven,Maine,Denmark,PROD538,Certain Table,Sports,5,10834.89,0.1,48757.0,Debit Card,Shipped,2024-03-07,"0076 Galvan Mission Suite 859, New Gary, NC 98424",2
ORD000089,CUST6279,Kelly Harris,karen21@gmail.com,(744)622-3564,Lake Anthonymouth,Wisconsin,Saint Barthelemy,PROD450,Again Laptop,Home & Kitchen,5,41567.43,0.07,193288.55,Credit Card,Delivered,2025-03-04,"1417 David Mountain Apt. 828, Josephside, OH 26205",3
ORD000090,CUST2657,Tyrone Gonzalez,rebecca22@watkins.com,404-100-2924x67436,West Audreyville,Rhode Island,Lesotho,PROD553,Expect Phone,Toys,4,37055.85,0.04,142294.46,Debit Card,Returned,2024-02-12,"22893 Michelle Ports, Basstown, NV 10606",3
ORD000091,CUST1627,Charles Sherman,hsmith@yahoo.com,+1-466-064-0865x43723,North Anita,Hawaii,Oman,PROD319,Health Shoes,Grocery,2,43463.14,0.25,65194.71,Debit Card,Delivered,2024-08-06,"028 Ball Meadow, New Frank, NH 66245",8
ORD000092,CUST8690,Emily Lynch,joshua66@yahoo.com,(623)778-8288x454,West Rogerview,Pennsylvania,Lao People's Democratic Republic,PROD390,Son Shoes,Sports,3,19045.97,0.28,41139.3,UPI,Delivered,2024-10-09,"621 Woods Islands Suite 851, New Summerbury, NH 46861",7
ORD000093,CUST4653,Harold Fields,ybaker@henderson.biz,(986)344-4063,Ericport,Maryland,Sweden,PROD257,Although Laptop,Sports,5,44708.01,0.2,178832.04,Cash on Delivery,Shipped,2024-01-18,"47380 Macias Pass, West Susanmouth, UT 44771",2
ORD000094,CUST1494,Tyler Santiago,rosalesbilly@crawford.com,+1-516-853-4433x91042,Penafurt,Louisiana,Dominican Republic,PROD375,Hour Laptop,Grocery,1,14804.13,0.37,9326.6,Cash on Delivery,Cancelled,2025-02-15,"Unit 8066 Box 0209, DPO AP 14061",5
ORD000095,CUST3687,Mr. Travis Espinoza,chad51@hotmail.com,6578936279,East Dustin,Iowa,Montserrat,PROD992,Relate Laptop,Beauty,4,13786.24,0.08,50733.36,Credit Card,Cancelled,2024-11-19,"13576 Castaneda Fords Apt. 906, Jenniferfurt, MT 48276",3
ORD000096,CUST5104,Brittany Cooper,angelica03@horton.com,374-685-4033,North Heather,Wisconsin,Svalbard & Jan Mayen Islands,PROD507,Fly Bag,Electronics,2,6016.9,0.25,9025.35,Debit Card,Processing,2024-09-02,"31698 Gill Summit Suite 688, Scottton, ME 45687",6
ORD000097,CUST4420,Briana Oneal,martinjeffery@hotmail.com,(479)451-9670x772,Andrewfurt,Iowa,Cape Verde,PROD426,Anyone Phone,Fashion,1,14141.92,0.11,12586.31,UPI,Delivered,2024-06-13,"2155 Dorsey Springs Apt. 647, Carlosport, ND 49164",9
ORD000098,CUST3985,Michael Blackwell,rcarroll@walton-ware.com,0033946272,Angelahaven,Florida,Isle of Man,PROD386,Rise Shoes,Home & Kitchen,5,47906.56,0.19,194021.57,Credit Card,Processing,2024-05-09,"281 Kimberly Throughway, Watkinsberg, MI 73705",6
